@relation 'sysdev-weka.filters.unsupervised.attribute.Remove-R1,9-22-weka.filters.unsupervised.attribute.Remove-R3-4,6-7'

@attribute accelerationx-mean-300 numeric
@attribute accelerationy-mean-300 numeric
@attribute accelerationy-var-300 numeric
@attribute class {walking,sitting,standing}

@data
-6.457143,-8.306723,0.277098,walking
-6.570588,-8.020168,0.608837,walking
-6.129412,-8.093277,0.681804,walking
-6.384034,-7.415966,0.93277,walking
-6.17563,-6.641176,2.435531,walking
-6.133613,-5.785714,1.286098,walking
-5.857143,-6.412605,3.219253,walking
-6.198319,-7.415126,3.084477,walking
-6.961345,-7.396639,3.279653,walking
-5.5,-8.4,0,walking
-5.55,-8.4,0,walking
-5.566667,-8.433333,0.002222,walking
-5.575,-8.475,0.006875,walking
-5.58,-8.52,0.0136,walking
-5.583333,-8.566667,0.022222,walking
-5.614286,-8.614286,0.032653,walking
-5.65,-8.6625,0.044844,walking
-5.688889,-8.711111,0.058765,walking
-5.72,-8.77,0.0841,walking
-5.754545,-8.818182,0.099669,walking
-5.825,-8.883333,0.138056,walking
-5.9,-8.946154,0.174793,walking
-5.95,-8.992857,0.190663,walking
-5.986667,-9.026667,0.193956,walking
-6.0125,-9.05625,0.194961,walking
-6.023529,-9.082353,0.194394,walking
-6.033333,-9.111111,0.197654,walking
-6.036842,-9.131579,0.194792,walking
-6.025,-9.14,0.1864,walking
-6.014286,-9.142857,0.177687,walking
-6.004545,-9.136364,0.170496,walking
-5.995652,-9.126087,0.165406,walking
-5.9875,-9.1125,0.16276,walking
-5.984,-9.096,0.162784,walking
-5.980769,-9.073077,0.16966,walking
-5.985185,-9.048148,0.179534,walking
-5.989286,-9.017857,0.197895,walking
-5.996552,-8.986207,0.21912,walking
-6.006667,-8.95,0.249833,walking
-6.016129,-8.912903,0.283059,walking
-6.028125,-8.875,0.31875,walking
-6.042424,-8.839394,0.34966,walking
-6.071429,-8.765714,0.419396,walking
-6.088889,-8.730556,0.451011,walking
-6.105405,-8.694595,0.485376,walking
-6.123684,-8.660526,0.515547,walking
-6.14359,-8.628205,0.542025,walking
-6.1625,-8.595,0.571475,walking
-6.180488,-8.563415,0.597442,walking
-6.197619,-8.530952,0.626423,walking
-6.209302,-8.5,0.652093,walking
-6.220455,-8.468182,0.680806,walking
-6.228889,-8.437778,0.706351,walking
-6.234783,-8.406522,0.734957,walking
-6.233333,-8.347917,0.783329,walking
-6.230612,-8.318367,0.809254,walking
-6.224,-8.29,0.8325,walking
-6.215686,-8.262745,0.853318,walking
-6.205769,-8.238462,0.866982,walking
-6.19434,-8.215094,0.879017,walking
-6.171429,-7.72449,0.766951,walking
-6.381195,-7.526991,3.4379,walking
-6.445455,-7.735664,3.112714,walking
-6.447867,-7.551024,2.833557,walking
