@relation 'sysdev-weka.filters.unsupervised.attribute.Remove-R1-8,16-22-weka.filters.unsupervised.attribute.Remove-R4-7'

@attribute accelerationx-mean-1000 numeric
@attribute accelerationy-mean-1000 numeric
@attribute accelerationz-mean-1000 numeric
@attribute class {walking,sitting,standing}

@data
3.823737,-1.235859,-9.047222,sitting
3.812374,-1.25404,-9.059091,sitting
3.822727,-1.274747,-9.076515,sitting
3.797222,-1.305808,-9.07702,sitting
3.750505,-1.330556,-9.089899,sitting
3.712374,-1.342929,-9.100758,sitting
3.687121,-1.35303,-9.110354,sitting
3.629293,-1.37904,-9.111616,sitting
3.582828,-1.403535,-9.137626,sitting
3.534343,-1.407071,-9.15,sitting
3.483544,-1.413671,-9.171646,sitting
3.427778,-1.433333,-9.179545,sitting
3.360101,-1.45101,-9.194444,sitting
3.317424,-1.468434,-9.214394,sitting
3.27519,-1.495696,-9.234937,sitting
3.243939,-1.502525,-9.248485,sitting
3.205808,-1.512626,-9.261869,sitting
3.168434,-1.530808,-9.285859,sitting
3.136111,-1.54899,-9.297727,sitting
3.109114,-1.552152,-9.304051,sitting
3.087374,-1.559091,-9.313384,sitting
3.057323,-1.586364,-9.318182,sitting
3.01519,-1.591139,-9.328608,sitting
2.990886,-1.594937,-9.331899,sitting
2.980808,-1.594949,-9.338384,sitting
2.976515,-1.603788,-9.337374,sitting
2.975758,-1.60404,-9.341667,sitting
2.968101,-1.596709,-9.342025,sitting
2.966919,-1.599495,-9.341919,sitting
2.959848,-1.60404,-9.346212,sitting
2.957215,-1.595696,-9.348608,sitting
2.963889,-1.580808,-9.345455,sitting
2.968687,-1.582323,-9.341414,sitting
2.964646,-1.574495,-9.34596,sitting
2.968687,-1.571465,-9.346212,sitting
2.974747,-1.563131,-9.343434,sitting
2.97803,-1.553535,-9.340404,sitting
2.988384,-1.555051,-9.339394,sitting
2.986364,-1.545707,-9.341667,sitting
2.994697,-1.545455,-9.340657,sitting
2.997475,-1.549747,-9.336364,sitting
2.992677,-1.550253,-9.340909,sitting
2.989899,-1.544444,-9.342424,sitting
2.993182,-1.544444,-9.339899,sitting
2.991162,-1.551768,-9.337879,sitting
2.979798,-1.547475,-9.343182,sitting
2.977722,-1.54481,-9.346835,sitting
2.972222,-1.544444,-9.343434,sitting
2.976768,-1.539899,-9.341414,sitting
2.982576,-1.52904,-9.334343,sitting
2.987626,-1.517677,-9.336111,sitting
2.994949,-1.504293,-9.328535,sitting
3.027778,-1.486869,-9.32298,sitting
3.069949,-1.468434,-9.314141,sitting
3.113636,-1.441162,-9.308838,sitting
3.152273,-1.418687,-9.297222,sitting
3.184848,-1.399242,-9.285354,sitting
3.230051,-1.375758,-9.277778,sitting
3.262879,-1.360354,-9.269697,sitting
3.283333,-1.344192,-9.264899,sitting
3.312879,-1.330303,-9.257576,sitting
3.342424,-1.321717,-9.252273,sitting
3.348232,-1.319444,-9.247222,sitting
3.337879,-1.315404,-9.245707,sitting
3.318939,-1.318434,-9.246212,sitting
3.32,-1.316456,-9.247342,sitting
3.321717,-1.315909,-9.247727,sitting
3.314141,-1.319444,-9.250253,sitting
3.308081,-1.316919,-9.248737,sitting
3.308838,-1.316162,-9.25101,sitting
3.309596,-1.317172,-9.24899,sitting
3.303283,-1.312121,-9.255303,sitting
3.301266,-1.311899,-9.256456,sitting
3.301515,-1.311616,-9.257323,sitting
3.305808,-1.306566,-9.258586,sitting
3.286111,-1.315152,-9.259596,sitting
3.268687,-1.318434,-9.266162,sitting
3.257323,-1.318182,-9.268434,sitting
3.25,-1.32096,-9.274242,sitting
3.234596,-1.32601,-9.278535,sitting
3.22803,-1.322727,-9.282323,sitting
3.226768,-1.329545,-9.282828,sitting
3.223678,-1.33728,-9.285139,sitting
3.207848,-1.342278,-9.291899,sitting
3.193924,-1.352658,-9.292658,sitting
3.193687,-1.354545,-9.29798,sitting
3.179545,-1.37601,-9.298232,sitting
3.151515,-1.397475,-9.304293,sitting
3.112121,-1.414646,-9.312121,sitting
3.093939,-1.42601,-9.320455,sitting
3.07399,-1.450253,-9.322475,sitting
3.036962,-1.469873,-9.331392,sitting
3.006061,-1.477273,-9.337374,sitting
2.993199,-1.489421,-9.338035,sitting
2.982576,-1.499495,-9.341667,sitting
2.971717,-1.510859,-9.344697,sitting
2.964394,-1.503535,-9.351263,sitting
2.967677,-1.487626,-9.350253,sitting
2.991414,-1.482071,-9.345202,sitting
3.006835,-1.483291,-9.336962,sitting
3.007071,-1.473737,-9.340152,sitting
3.019444,-1.460859,-9.337121,sitting
3.026515,-1.459596,-9.335354,sitting
3.033586,-1.456061,-9.336869,sitting
3.040404,-1.451515,-9.334596,sitting
3.04899,-1.442929,-9.332071,sitting
3.056313,-1.444949,-9.326768,sitting
3.062879,-1.44697,-9.327273,sitting
3.061111,-1.445455,-9.32702,sitting
3.056927,-1.442821,-9.329975,sitting
3.057828,-1.441414,-9.328788,sitting
3.059091,-1.443182,-9.328283,sitting
3.061869,-1.442677,-9.328535,sitting
