% Group: LeisterMeierMulterer
% Date: 2018-05-23 21:44

@RELATION sysdev

@ATTRIBUTE timestamp     NUMERIC
@ATTRIBUTE accelerationx NUMERIC
@ATTRIBUTE accelerationy NUMERIC
@ATTRIBUTE accelerationz NUMERIC

@Data
1527104704406,3.0,-1.6,-9.3
1527104704408,3.0,-1.6,-9.2
1527104704411,3.0,-1.6,-9.2
1527104704413,3.0,-1.6,-9.2
1527104704416,3.1,-1.6,-9.2
1527104704418,3.0,-1.6,-9.3
1527104704422,3.1,-1.6,-9.2
1527104704424,3.1,-1.6,-9.2
1527104704426,3.1,-1.6,-9.2
1527104704430,3.1,-1.6,-9.2
1527104704434,3.1,-1.6,-9.3
1527104704435,3.1,-1.6,-9.3
1527104704436,3.1,-1.6,-9.2
1527104704439,3.1,-1.6,-9.2
1527104704442,3.1,-1.6,-9.2
1527104704444,3.0,-1.6,-9.2
1527104704447,3.1,-1.7,-9.2
1527104704450,3.1,-1.6,-9.3
1527104704452,3.1,-1.6,-9.3
1527104704457,3.0,-1.7,-9.3
1527104704458,3.0,-1.6,-9.3
1527104704459,3.1,-1.6,-9.3
1527104704462,3.0,-1.6,-9.3
1527104704464,3.0,-1.6,-9.3
1527104704467,3.0,-1.6,-9.3
1527104704470,3.0,-1.6,-9.4
1527104704472,3.0,-1.7,-9.4
1527104704474,3.0,-1.7,-9.4
1527104704477,3.0,-1.6,-9.4
1527104704480,3.0,-1.6,-9.4
1527104704481,3.0,-1.6,-9.3
1527104704485,3.0,-1.6,-9.4
1527104704487,3.0,-1.7,-9.4
1527104704491,3.0,-1.7,-9.4
1527104704493,3.0,-1.6,-9.4
1527104704495,3.0,-1.6,-9.4
1527104704497,3.0,-1.6,-9.4
1527104704500,3.0,-1.6,-9.4
1527104704502,3.0,-1.6,-9.4
1527104704504,3.0,-1.6,-9.4
1527104704507,3.0,-1.6,-9.3
1527104704510,3.0,-1.6,-9.4
1527104704513,3.0,-1.6,-9.3
1527104704515,3.0,-1.6,-9.3
1527104704522,2.9,-1.6,-9.3
1527104704524,3.0,-1.6,-9.3
1527104704525,2.9,-1.6,-9.3
1527104704527,2.9,-1.6,-9.4
1527104704529,2.9,-1.6,-9.3
1527104704530,3.0,-1.6,-9.3
1527104704532,2.9,-1.6,-9.3
1527104704535,2.9,-1.6,-9.3
1527104704538,2.9,-1.6,-9.3
1527104704540,2.9,-1.6,-9.3
1527104704542,2.9,-1.6,-9.3
1527104704545,2.9,-1.6,-9.3
1527104704547,2.9,-1.6,-9.4
1527104704550,2.9,-1.6,-9.4
1527104704554,2.9,-1.6,-9.3
1527104704555,2.9,-1.6,-9.4
1527104704557,2.9,-1.6,-9.3
1527104704560,3.0,-1.6,-9.4
1527104704563,2.9,-1.7,-9.4
1527104704565,3.0,-1.7,-9.4
1527104704568,3.0,-1.6,-9.3
1527104704570,3.0,-1.6,-9.4
1527104704573,3.0,-1.6,-9.4
1527104704575,3.0,-1.6,-9.4
1527104704578,3.0,-1.6,-9.4
1527104704580,3.0,-1.7,-9.4
1527104704584,3.0,-1.6,-9.4
1527104704585,3.0,-1.6,-9.3
1527104704588,3.0,-1.6,-9.4
1527104704591,3.0,-1.6,-9.4
1527104704593,3.0,-1.6,-9.4
1527104704596,3.0,-1.6,-9.4
1527104704598,3.0,-1.6,-9.4
1527104704601,3.0,-1.7,-9.4
1527104704603,3.0,-1.6,-9.3
1527104704606,3.0,-1.6,-9.3
1527104704608,3.0,-1.6,-9.4
1527104704611,3.0,-1.6,-9.3
1527104704613,3.0,-1.7,-9.4
1527104704616,3.0,-1.6,-9.4
1527104704618,3.0,-1.6,-9.4
1527104704621,3.0,-1.7,-9.3
1527104704624,3.0,-1.6,-9.3
1527104704626,3.0,-1.6,-9.3
1527104704629,3.0,-1.6,-9.3
1527104704631,3.0,-1.6,-9.3
